m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;mean;variance;std_deviation;ci;ci_upper;ci_lower
39;0,547873;0,550172;0,551023;0,549922;0,550034;0,54998;0,548539;0,548569;0,549045;0,551557;0,570877;0,562812;0,549207;0,548547;0,553643;0,554736;0,551058;0,550999;0,550317;0,548422;0,548656;0,548715;0,549672;0,552193;0,55129;0,549987;0,549145;0,550834;0,553428;0,550298;0,551385;2,14493287586207E-05;0,004631342;5,30225623627467E-05;0,5514380226;0,5513319774
40;0,567914;0,5661;0,564053;0,563873;0,563582;0,573219;0,567109;0,564537;0,566524;0,563749;0,564053;0,565928;0,569263;0,565416;0,564735;0,564014;0,56387;0,563557;0,565583;0,564724;0,564605;0,567471;0,573289;0,566833;0,564816;0,565246;0,565197;0,564456;0,563791;0,566782;0,5658096333;6,15976251609188E-06;0,0024818869;2,84142268239847E-05;0,5658380476;0,5657812191
41;0,565138;0,574039;0,567729;0,566169;0,565026;0,566415;0,566602;0,566088;0,569431;0,566201;0,565279;0,57143;0,566562;0,565776;0,564954;0,566721;0,571623;0,565486;0,564669;0,566737;0,566291;0,566926;0,566984;0,565953;0,565287;0,565064;0,569449;0,570063;0,576567;0,567609;0,5674089333;8,0782684091954E-06;0,0028422295;3,25396590551136E-05;0,567441473;0,5673763937
42;0,568817;0,570667;0,569341;0,569942;0,571628;0,582218;0,571481;0,569094;0,570566;0,570328;0,570731;0,57295;0,571207;0,569323;0,570136;0,568955;0,570464;0,571537;0,573499;0,570532;0,56903;0,569008;0,574147;0,575827;0,570752;0,569896;0,569838;0,574428;0,569177;0,570368;0,5711962333;7,45483087471267E-06;0,0027303536;3,12588327121781E-05;0,5712274922;0,5711649745
43;0,574028;0,573782;0,5735;0,572786;0,573265;0,574242;0,577074;0,573188;0,574318;0,57344;0,574754;0,573715;0,574444;0,573854;0,573856;0,57556;0,574142;0,573964;0,575883;0,573766;0,574202;0,573096;0,573441;0,573611;0,574109;0,576038;0,573495;0,576164;0,573244;0,573511;0,5741490667;1,04855068505746E-06;0,0010239876;1,17232647483004E-05;0,5741607899;0,5741373434
44;0,586248;0,586221;0,608931;0,584;0,59402;0,584213;0,584668;0,586943;0,584954;0,584504;0,58434;0,583851;0,584075;0,588072;0,587577;0,584971;0,589195;0,589311;0,589384;0,585644;0,585789;0,584908;0,583998;0,583731;0,583979;0,584327;0,586092;0,586727;0,586863;0,584489;0,5867341667;2,27513579367816E-05;0,0047698384;5,46081570823688E-05;0,5867887748;0,5866795585
45;0,72307;0,724106;0,726453;0,724504;0,729673;0,722814;0,725055;0,730571;0,723051;0,727228;0,725103;0,727744;0,730011;0,735722;0,724118;0,723903;0,730632;0,890919;0,72498;0,723503;0,723712;0,727922;0,863114;0,723107;0,723349;0,726287;0,724272;0,724806;0,722815;0,723073;0,7358539;0,0014949809;0,0386649834;0,0004426614;0,7362965614;0,7354112386
46;0,770527;0,770917;0,771527;0,773319;0,769225;0,770093;0,778319;0,790323;0,769561;0,78343;0,76948;0,772105;0,77095;0,770179;0,769829;0,771353;0,779303;0,775718;0,770121;0,772942;0,770632;0,769841;0,76959;0,770523;0,788331;0,769917;0,797734;0,771214;0,76937;0,785698;0,7744023667;5,469712824023E-05;0,0073957507;8,46712792391068E-05;0,7744870379;0,7743176954
47;0,7756;0,775225;0,779516;0,78214;0,77742;0,774229;0,773121;0,775488;0,774364;0,775788;0,773668;0,775339;0,77505;0,77721;0,774921;0,779025;0,773392;0,777124;0,779601;0,781777;0,778284;0,772864;0,775679;0,775308;0,775287;0,778063;0,7778;0,775668;0,775805;0,774017;0,7762924333;5,70215666781609E-06;0,0023879189;2,73384212662311E-05;0,7763197718;0,7762650949
48;0,819836;0,820592;0,821945;0,824827;0,827502;0,820729;0,820243;0,822995;0,821883;0,821138;0,820228;0,83032;0,827299;0,820908;0,836894;0,8218;0,822213;0,821555;0,82239;0,820835;0,822918;0,821705;0,821844;0,827195;0,838409;0,821512;0,821013;0,842412;0,824048;0,824788;0,8243992;3,21028154068965E-05;0,0056659346;6,4867239953282E-05;0,8244640672;0,8243343328
49;0,920762;0,915993;0,925342;0,924322;0,915083;0,913191;0,918736;0,917299;0,914548;0,912858;0,919234;0,917602;0,919498;0,916471;0,921238;0,918538;0,917826;0,913871;0,916948;0,916945;0,921842;0,915782;0,916294;0,915413;0,914042;0,913149;0,932638;0,916405;0,914627;0,916876;0,9177791;1,75642463000001E-05;0,004190972;4,79809251843635E-05;0,9178270809;0,9177311191
50;0,930477;0,939077;0,949745;0,926155;0,935687;0,932163;0,977328;0,92629;0,931003;0,93404;0,927457;0,926244;0,928943;0,926547;0,92722;0,927798;0,932844;0,926092;0,925711;0,928073;0,927936;0,9343;0,926794;0,927053;0,929401;0,927584;0,94102;0,929758;0,959489;0,925819;0,9329349333;0,0001270709;0,0112725744;0,0001290556;0,933063989;0,9328058777
51;0,955597;1,08344;0,952243;0,950275;0,950274;0,952769;0,98561;0,950055;0,952036;0,952488;0,953509;0,949896;0,950114;0,955065;0,95074;0,949011;0,950684;0,953111;0,956116;0,950175;0,95362;0,950675;0,950467;0,949291;0,953826;0,9504;0,951371;0,949812;0,95104;0,950329;0,9571346333;0,0006110694;0,0247198182;0,0002830083;0,9574176416;0,9568516251
52;0,959907;0,975768;0,961323;0,961207;0,958169;0,961781;0,962509;0,970151;0,960119;0,961205;0,960919;0,96054;0,964995;0,967663;0,961628;0,961579;0,959997;0,967233;0,961612;0,95916;0,958699;0,960335;0,961416;0,959527;0,959692;0,960565;0,961025;0,959442;0,963894;0,961012;0,9621024;1,39358813517242E-05;0,0037330793;4,27386774474209E-05;0,9621451387;0,9620596613
53;1,009603;1,009076;1,02656;1,008767;1,009315;1,009145;1,009592;1,016709;1,008766;1,014676;1,061609;1,008079;1,011624;1,010677;1,008312;1,050406;1,009788;1,008133;1,015834;1,009081;1,009283;1,007338;1,007013;1,010159;1,010592;1,007718;1,008292;1,010332;1,008059;1,00766;1,0134066;0,0001509289;0,0122853133;0,0001406501;1,0135472501;1,0132659499
54;1,165515;1,166205;1,174467;1,167077;1,173202;1,245777;1,165576;1,166631;1,166497;1,165159;1,168071;1,174372;1,165839;1,168414;1,166282;1,165029;1,167511;1,165907;1,165413;1,175336;1,169593;1,165264;1,169216;1,165017;1,165534;1,170433;1,167979;1,166066;1,167221;1,17324;1,1705947667;0,0002114156;0,0145401372;0,0001664648;1,1707612314;1,1704283019
