m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Tempo Médio Recursivo;variance;std_deviation;ci;ci_upper;ci_lower
36;60,777691;60,422924;60,526801;60,145888;60,046358;60,091537;60,095689;60,405683;60,446689;60,106;60,084102;60,142547;60,394458;60,347186;60,28858;60,075106;60,356745;60,530095;60,280756;61,08987;60,037292;60,3279;60,364904;60,124546;64,264636;63,964882;64,212436;63,982538;63,685226;63,672597;61,0430554;2,2670686211;1,5056787908;0,0172379728;61,0602933728;61,0258174272
37;82,691305;82,675776;82,228004;82,192593;82,140774;81,874417;82,085477;82,842606;82,867433;82,393493;82,395337;79,813661;78,516777;78,495164;78,073064;78,488351;78,093303;78,015714;78,961672;78,334806;78,756054;78,169348;78,065068;78,77049;79,301099;78,257008;78,084461;78,491812;78,200642;78,552523;79,9276077333;3,831400695;1,9573964072;0,0224095247;79,950017258;79,9051982086
38;93,142081;93,226307;92,465646;93,295009;92,522228;92,742595;92,942855;93,006476;92,511299;93,239479;93,064666;92,67204;92,837813;92,952577;92,982409;92,972025;92,526602;92,972613;93,079186;93,077939;92,592232;92,656286;92,497772;92,91874;93,360111;92,955485;93,101496;92,94006;92,679538;92,543265;92,882561;0,0690659651;0,2628040431;0,0030087486;92,8855697486;92,8795522514
39;97,367715;97,190018;97,28121;96,863413;96,729073;97,268869;99,169224;96,934427;97,954882;97,233363;96,756491;96,804051;97,247959;97,269511;97,273853;96,794953;97,069413;96,985802;97,221158;97,079989;96,692835;96,850546;97,648923;97,519344;97,423861;96,963763;97,126504;97,545063;96,732698;96,865544;97,1954818333;0,2325768428;0,4822622137;0,005521246;97,2010030793;97,1899605874
40;139,44367;139,211215;139,387976;138,46299;139,259601;139,759263;139,257469;139,494717;139,706565;138,657953;138,686252;139,732368;139,148268;138,905713;139,621222;139,116764;138,358294;139,828642;139,087438;138,587325;138,567964;139,126869;139,161757;138,71412;138,983746;139,424556;139,607852;139,380009;139,422515;138,675321;139,1592804667;0,1765854187;0,4202206786;0,0048109548;139,1640914215;139,1544695118
41;144,147531;143,968562;145,456937;144,278587;144,482627;145,069866;145,010289;144,909251;145,337011;144,146027;42;207,478894;206,840227;207,825275;43;43;211,584857;;;;;;;;;;;;;;141,6785847647;2958,8429490692;54,3952474861;0,6227515479;142,3013363126;141,0558332168
44;239,637886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239,637886;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
45;244,487178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244,487178;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
46;370,12366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;370,12366;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
47;415,615382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415,615382;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
