0	1925	1880	1884	1880	1880	1983	2000	2001	2021	1956	1884	1683	1666	1683	1956	1956	1996	1704	1996	2015	2030	1960	1877	1675	1704	1960	1691	0	0	
1925	1884	1850	1880	1688	1688	1928	1997	2000	2017	1928	1704	1675	1665	1675	1704	1704	1960	1683	1960	1996	2015	1897	1704	1672	1691	1704	1672	1666	1665	
1884	1859	1688	1850	1683	1683	1925	1983	1997	2000	1925	1688	1665	1651	1666	1683	1683	1956	1675	1897	1960	1996	1877	1675	1667	1672	1691	1667	0	1638	
1859	1850	1683	1688	1669	1669	1884	1956	1956	1997	1884	1683	1651	1647	1647	1675	1675	1897	1672	1877	1897	1960	1704	1672	0	1667	1672	0	1665	1599	
0	1688	1669	1683	1665	1665	1880	1928	1928	1956	1704	1675	1647	1637	1637	1667	1667	1704	1667	1704	1877	1897	1675	1667	1666	0	1667	1666	1638	1595	
1850	1669	1665	1669	1651	1651	1688	1925	1925	1928	1688	1665	1637	1585	1585	1666	1666	1683	1666	1683	1704	1877	1672	0	0	1666	0	0	1599	1585	
1688	1665	1651	1665	1647	1647	1683	1884	1884	1925	1683	1651	1585	1582	1582	1647	1647	1675	1647	1675	1683	1704	1667	1666	1638	0	1666	1665	1595	1575	
1669	1663	1637	1651	1637	1637	1675	1880	1880	1884	1675	1647	1582	1575	1575	1599	1599	1672	1599	1672	1675	1675	0	1647	1599	1638	0	1638	1585	1570	
1665	1651	1635	1637	1635	1635	1669	1704	1704	1704	1669	1637	1571	1571	1571	1585	1585	1667	1585	1667	1672	1672	1666	1638	1585	1599	1665	1599	1575	1565	
1663	1637	1582	1635	1582	1582	1665	1688	1688	1688	1665	1582	1565	1565	1565	1582	1575	1666	1575	1666	1667	1667	1647	1599	1575	1585	1638	1585	1570	1556	
0	1635	1560	1582	1560	1560	1651	1683	1683	1683	1651	1571	1524	1518	1489	1575	1571	1647	1571	1647	0	0	1638	1585	1571	1575	1599	1575	1565	1523	
1651	1601	1546	1560	1540	1540	1647	1675	1675	1675	1647	1565	1518	1489	1483	1571	1565	1599	1565	1599	1666	1666	1599	1575	1565	1571	1585	1570	1556	1493	
1637	1582	1540	1540	1524	1524	1637	1669	1669	1669	1637	1524	1514	1483	1472	1565	1489	1585	1493	1585	1647	1647	1585	1571	1493	1570	1575	1565	1493	1489	
1635	1560	1536	1536	1518	1518	1635	1665	1665	1665	1582	1518	1483	1472	0	1560	1483	1575	1489	1575	1599	1638	1575	1565	1489	1565	1570	1556	1489	0	
1601	1546	1524	1524	1477	1483	1582	1651	1651	1651	1571	1514	1472	0	0	1489	1472	1571	1483	1571	1585	1599	1571	1555	1472	1493	1565	1493	0	1449	
0	1540	1518	1518	1472	1477	1565	1647	1647	1647	1565	1483	0	0	1467	1483	0	1565	1472	1565	1575	1585	1565	1493	1449	1489	1493	1489	1472	1436	
1536	1477	1477	1467	1472	1560	1637	1637	1637	1560	1472	0	1467	1449	1472	1449	1489	1456	1555	1571	1575	1555	1489	1445	1472	1489	0	1449	1432	
