11840	11666	11840	12417	12417	12417	12417	12417	11840	11666	11666	11666	10534	11666	10534	10534	11521	11521	10540	11521	10540	10534	10429	10429	10429	10429	10534	10540	11521	11521	
10429	10429	11666	11840	11840	11840	11840	11840	11666	10429	10429	10534	10429	10534	10429	10429	10534	10534	10534	10540	10534	10429	10005	10005	10005	7176	10429	10534	10540	10540	
10005	10005	10429	11666	11666	11666	11666	11666	10429	10005	10005	10429	10005	10429	10005	10005	10429	10429	10429	10534	10429	10005	7176	7176	7176	7040	7176	10429	10534	10534	
9386	9386	10005	10429	10429	10429	10429	10429	10005	8311	7176	10005	7176	10005	7176	7176	10005	10005	10005	10429	10005	7176	7040	7040	7040	6957	7040	7176	10429	10429	
7074	7074	9386	10005	10005	10005	10005	10005	7176	7176	7074	7176	7047	7176	7047	7047	7176	7176	8555	10005	8556	7040	6864	6864	6864	6864	6997	7040	7176	7176	
7047	7047	7074	9386	7977	7841	7176	7176	7074	7074	7047	7074	7040	7047	7040	7040	7040	7040	7176	7176	7176	6864	6839	6839	6839	6839	6957	6997	7040	7040	
6898	6898	7047	7074	7074	7074	7074	7074	7047	7047	7040	7047	6888	7040	6888	6888	6888	6888	7040	7040	7040	6839	6812	6812	6812	6812	6864	6957	6997	6997	
6888	6888	6898	7047	7047	7047	7047	7047	7040	7040	6888	7040	6864	6888	6864	6864	6864	6864	6888	6888	6864	6812	6792	6792	6792	6792	6839	6864	6957	6957	
6864	6864	6888	7040	7040	7040	7040	7040	6888	6888	6864	6888	6839	6864	6839	6839	6839	6839	6864	6864	6839	6792	6727	6727	6727	6727	6812	6839	6864	6864	
6839	6839	6864	6898	6898	6898	6898	6888	6864	6864	6839	6864	6792	6839	6792	6792	6792	6792	6839	6839	6812	6727	6666	6666	6666	6666	6792	6812	6839	6839	
6792	6792	6839	6888	6888	6888	6888	6864	6839	6839	6792	6839	6727	6792	6727	6727	6727	6727	6792	6792	6792	6666	6620	6620	6620	6620	6666	6792	6812	6812	
6780	6780	6792	6864	6864	6864	6864	6839	6792	6792	6780	6792	6666	6727	6666	6666	6666	6666	6727	6727	6727	6620	6468	6468	6468	6468	6620	6666	6666	6666	
6727	6727	6780	6839	6839	6839	6839	6792	6780	6780	6727	6727	6620	6666	6620	6620	6620	6620	6666	6666	6666	6468	5915	5915	5915	5915	6468	6620	6620	6620	
6658	6658	6727	6792	6792	6792	6792	6780	6727	6727	6666	6666	6468	6620	6468	6468	6468	6468	6620	6620	6620	5915	5850	5850	5850	5850	5915	6468	6468	6468	
0	6620	6666	6780	6780	6780	6780	6727	6666	6666	6620	6620	5915	6468	5915	5915	5915	5915	6468	6468	6468	5850	5811	5811	5811	5787	5850	5915	5915	5850	
